location,truth_date,year_week,value
BG,2023-03-05,2023-W09,969.908183097648
BG,2023-02-19,2023-W07,1288.11741840359
BG,2023-02-12,2023-W06,1309.02754507071
BG,2023-02-05,2023-W05,1324.03994370351
BG,2023-01-29,2023-W04,1634.20682259902
BG,2023-01-22,2023-W03,1994.50438978621
BG,2023-01-15,2023-W02,1870.3840225186
BG,2023-01-08,2023-W01,1244.42061524027
BG,2023-01-01,2022-W52,533.208230011393
BG,2022-12-25,2022-W51,954.0915488238052
BG,2022-12-18,2022-W50,1209.3023255814
BG,2022-12-11,2022-W49,1170.96709335835
BG,2022-12-04,2022-W48,1172.57556464044
BG,2022-11-27,2022-W47,1187.05180617921
BG,2022-11-20,2022-W46,1118.15561959654
BG,2022-11-13,2022-W45,988.5116023432581
BG,2022-11-06,2022-W44,794.63540886826
BG,2022-10-30,2022-W43,511.29673386491294
BG,2022-10-23,2022-W42,592.429858043375
BG,2022-10-16,2022-W41,580.57599249782
BG,2022-10-09,2022-W40,540.45588356308
BG,2022-10-02,2022-W39,495.238496433809
BG,2022-09-25,2022-W38,298.828119857721
BG,2022-09-18,2022-W37,344.113086038803
BG,2022-09-11,2022-W36,268.813665528399
BG,2022-09-04,2022-W35,272.277427314291
BG,2022-08-28,2022-W34,269.656128777373
BG,2022-08-21,2022-W33,286.717024251153
BG,2022-08-14,2022-W32,298.038265796423
BG,2022-08-07,2022-W31,315.415055144978
BG,2022-07-31,2022-W30,328.579289499943
BG,2022-07-24,2022-W29,300.87930100432
BG,2022-07-17,2022-W28,295.959375681485
BG,2022-07-10,2022-W27,327.789435438645
BG,2022-07-03,2022-W26,285.663885502755
BG,2022-06-26,2022-W25,288.823301747947
CZ,2023-12-17,2023-W50,1427.10157790152
CZ,2023-12-10,2023-W49,1316.92675685767
CZ,2023-12-03,2023-W48,1269.89179883244
CZ,2023-11-26,2023-W47,1134.65269807927
CZ,2023-11-19,2023-W46,978.2710703038301
CZ,2023-11-12,2023-W45,1016.40386772629
CZ,2023-11-05,2023-W44,973.260583069552
CZ,2023-10-29,2023-W43,908.3256841002809
CZ,2023-10-22,2023-W42,904.529880328166
CZ,2023-10-15,2023-W41,819.0068724370499
CZ,2023-10-08,2023-W40,747.061013630616
CZ,2023-10-01,2023-W39,558.412641141538
CZ,2023-09-24,2023-W38,653.447396395471
CZ,2023-09-17,2023-W37,524.996167250331
CZ,2023-09-10,2023-W36,380.962308668268
CZ,2023-09-03,2023-W35,345.553888690285
CZ,2023-08-27,2023-W34,315.209464785189
CZ,2023-08-20,2023-W33,311.629515822874
CZ,2023-08-13,2023-W32,330.803768754246
CZ,2023-08-06,2023-W31,331.375315300677
CZ,2023-07-30,2023-W30,360.46878641192
CZ,2023-07-23,2023-W29,373.91394277677693
CZ,2023-07-16,2023-W28,402.511494799419
CZ,2023-07-09,2023-W27,320.632062493734
CZ,2023-07-02,2023-W26,565.624685593979
CZ,2023-06-25,2023-W25,605.374413857226
CZ,2023-06-18,2023-W24,662.211373805941
CZ,2023-06-11,2023-W23,679.328741783658
CZ,2023-06-04,2023-W22,690.662597079514
CZ,2023-05-28,2023-W21,701.727273637864
CZ,2023-05-21,2023-W20,751.512563171756
CZ,2023-05-14,2023-W19,737.8446514356061
CZ,2023-05-07,2023-W18,788.7782098675299
CZ,2023-04-30,2023-W17,872.085022298612
CZ,2023-04-23,2023-W16,920.44719979937
CZ,2023-04-16,2023-W15,901.679594570757
CZ,2023-04-09,2023-W14,899.3474946384541
CZ,2023-04-02,2023-W13,1064.29411733974
CZ,2023-03-26,2023-W12,1118.17972982869
CZ,2023-03-19,2023-W11,1164.02159662257
CZ,2023-03-12,2023-W10,1219.99864872046
CZ,2023-03-05,2023-W09,1195.07455991912
CZ,2023-02-26,2023-W08,1194.97509977757
CZ,2023-02-19,2023-W07,1101.24665225477
CZ,2023-02-12,2023-W06,1121.28433583072
CZ,2023-02-05,2023-W05,1145.20632972992
CZ,2023-01-29,2023-W04,1169.54915651195
CZ,2023-01-22,2023-W03,1212.37415492611
CZ,2023-01-15,2023-W02,1406.84233938163
CZ,2023-01-08,2023-W01,1682.62607840431
CZ,2023-01-01,2022-W52,1391.77412242139
CZ,2022-12-25,2022-W51,1855.85927103893
CZ,2022-12-18,2022-W50,1883.81463191754
CZ,2022-12-11,2022-W49,1403.5312590124
CZ,2022-12-04,2022-W48,1190.09847603033
CZ,2022-11-27,2022-W47,1068.93739077587
CZ,2022-11-20,2022-W46,854.666235602239
CZ,2022-11-13,2022-W45,936.2288839485791
CZ,2022-11-06,2022-W44,911.789058626195
CZ,2022-10-30,2022-W43,810.9295868104172
CZ,2022-10-23,2022-W42,959.481440201393
CZ,2022-10-16,2022-W41,948.010240324056
CZ,2022-10-09,2022-W40,922.3443415694311
CZ,2022-10-02,2022-W39,798.620452910946
CZ,2022-09-25,2022-W38,868.4402751342169
CZ,2022-09-18,2022-W37,697.770480340152
CZ,2022-09-11,2022-W36,503.26821416324
CZ,2022-09-04,2022-W35,424.104163799774
CZ,2022-08-28,2022-W34,350.432564884733
CZ,2022-08-21,2022-W33,389.410479784742
CZ,2022-08-14,2022-W32,407.522312483805
CZ,2022-08-07,2022-W31,428.053095457594
CZ,2022-07-31,2022-W30,447.944521227497
CZ,2022-07-24,2022-W29,460.181334710284
CZ,2022-07-17,2022-W28,484.223115457739
CZ,2022-07-10,2022-W27,383.390168724837
CZ,2022-07-03,2022-W26,538.997452718102
CZ,2022-06-26,2022-W25,567.563813042395
EE,2023-12-17,2023-W50,516.369621304232
EE,2023-12-10,2023-W49,463.657661397942
EE,2023-12-03,2023-W48,501.171376886806
EE,2023-11-26,2023-W47,401.530203730613
EE,2023-11-19,2023-W46,324.278639423505
EE,2023-11-12,2023-W45,417.24741259156
EE,2023-11-05,2023-W44,245.470181785831
EE,2023-10-29,2023-W43,186.382373001987
EE,2023-10-22,2023-W42,148.053141959017
EE,2023-10-15,2023-W41,165.549657483467
EE,2023-10-08,2023-W40,132.929035319237
EE,2023-10-01,2023-W39,172.961503668106
EE,2023-09-24,2023-W38,154.177673990858
EE,2023-09-17,2023-W37,117.737044416995
EE,2023-09-10,2023-W36,74.6845067967409
EE,2023-09-03,2023-W35,84.6775041850373
EE,2023-08-27,2023-W34,55.9758124382012
EE,2023-08-20,2023-W33,50.9417460846985
EE,2023-08-13,2023-W32,50.3406635350266
EE,2023-08-06,2023-W31,50.3406635350266
EE,2023-07-23,2023-W29,49.5141750292276
EE,2023-07-16,2023-W28,61.2352847478308
EE,2023-07-09,2023-W27,70.2515229929102
EE,2023-07-02,2023-W26,86.7061577901801
EE,2023-06-25,2023-W25,63.4142089903917
EE,2023-06-18,2023-W24,113.379195931873
EE,2023-06-11,2023-W23,120.291645253101
EE,2023-06-04,2023-W22,143.733864690307
EE,2023-05-28,2023-W21,132.087890290413
EE,2023-05-21,2023-W20,142.75710554709
EE,2023-05-14,2023-W19,133.214920071048
EE,2023-05-07,2023-W18,152.073885067006
EE,2023-04-30,2023-W17,174.764751317122
EE,2023-04-23,2023-W16,209.251862604551
EE,2023-04-16,2023-W15,239.23085476944
EE,2023-04-09,2023-W14,172.585827074561
EE,2023-04-02,2023-W13,271.463906495599
EE,2023-03-26,2023-W12,232.46867608563
EE,2023-03-19,2023-W11,230.064345886942
EE,2023-03-12,2023-W10,233.445435228847
EE,2023-03-05,2023-W09,250.651423213207
EE,2023-02-26,2023-W08,25.1703317675133
EE,2023-02-19,2023-W07,237.653013076551
EE,2023-02-12,2023-W06,273.642830738159
EE,2023-02-05,2023-W05,277.174190717482
EE,2023-01-29,2023-W04,277.925543904572
EE,2023-01-22,2023-W03,288.820165117376
EE,2023-01-15,2023-W02,345.021383511705
EE,2023-01-08,2023-W01,395.587453002858
EE,2023-01-01,2022-W52,517.982887179811
EE,2022-12-25,2022-W51,390.177710055811
EE,2022-12-18,2022-W50,528.802373073906
EE,2022-12-11,2022-W49,401.072331268615
EE,2022-12-04,2022-W48,388.073921131959
EE,2022-11-20,2022-W46,284.387181313546
EE,2022-11-13,2022-W45,248.322228333228
EE,2022-11-06,2022-W44,248.547634289355
EE,2022-10-30,2022-W43,297.460726768911
EE,2022-10-23,2022-W42,286.115293643853
EE,2022-10-16,2022-W41,290.848818722519
EE,2022-10-09,2022-W40,293.478554877334
